host,name
m.lvmama.com,['驴妈妈网']
eb.meituan.com,['美团酒店']
www.ly.com,"['同程网', '同程旅游', '同程国旅', '同程旅行', '同程旅行', '同程']"
www.chinapp.com,"['连锁宾馆', '酒店集团']"
www.langhamhotels.com,"['朗庭酒店', '朗廷酒店']"
com1087573.shop.hao315.tv,['金广快捷']
mip.szbbs.cn,['金广快捷']
www.wjyanghu.com,['旅企']
news.163.com,['炸伤']
www.springtour.com,['春秋旅游']
www.wxchunqiu.com,['春秋旅游']
www.jinjianginns.com,['锦江之星']
book.douban.com,"['走吗', '你要去哪']"
www.libaclub.com,['机+酒']
www.baicheng.com,['百程旅行']
www.auyou021.cn,"['百程旅行', '欣欣旅游', '酷讯网', '木鸟短租']"
www.njaihua.com,['百程旅行']
www.tanmizhi.com,['毒蜂']
www.huangbaoche.com,['皇包车']
www.bj-sydc.com,['七天快捷酒店']
www.dinngoo.com,['预订平台']
www.12306.cn,['预订平台']
www.jinjianghotels.com,['锦江酒店']
e.51sole.com,['e龙']
yogsu.com,['个树']
club.xywy.com,['蜂包']
www.120ask.com,['蜂包']
news.china.com,['炸烂']
www.mosca.com,['打包产品']
www.paidai.com,['打包产品']
www.liuxue86.com,"['住宿方面', '糯米网']"
www.yicai.com,['锦江系']
finance.sina.com.cn,"['锦江系', '首旅集团']"
www.bynrnews.com,['哪家']
www.marriott.com.cn,"['威斯汀', '万豪', '万豪国际集团', '喜达屋', '万豪国际', '万豪酒店', '万豪集团']"
z.mafengwo.cn,['蚂蚁窝']
life.fourseasons.com,['四季酒店']
m.ctrip.com,"['四季酒店', 'ctrip']"
www.flyertea.com,['万豪']
www.zhiding365.com,['直订']
www.kanzhun.com,['华远国旅']
www.wxgj.net,['国际饭店']
www.jumei.com,['聚美优品']
www.cncn.com,"['欣欣旅游', '欣欣旅游']"
www.bettertree.cn,['树上']
www.shushang.com,['树上']
www.hilton.com.cn,"['希尔顿', '康莱德']"
www.plateno.com,"['铂涛', '铂涛旅行']"
dev.platenogroup.com,"['铂涛', '铂涛集团']"
www.plateno.cc,"['铂涛', '铂涛集团']"
www.jinjianghotels.sh.cn,['锦江股份']
itunes.apple.com,['我在哪儿']
www.booking.com,"['豪华酒店', '缤客']"
bj.xiaomishu.com,['西客站店']
www.998.com,"['格林豪泰', '旗下酒店']"
news.sina.com.cn,['暴徒']
www.1615.cn,"['尚美生活', '尚美生活']"
www.hojochina.com,"['豪生', '豪生酒店']"
www.lashou.com,['拉手网']
m.lashou.com,['拉手网']
www.360doc.com,"['酒店巨头', '捅马蜂窝', '乱箭齐发', '住宿选择']"
www.jianshu.com,"['酒店巨头', '捅蜂窝']"
quote.eastmoney.com,"['艺龙', '大酒店', 'htht', '同程']"
www.agoda.com,['雅高达']
www.xiaohongshu.com,['你要去哪']
www.tianxun.com,['天巡']
www.yue365.com,['怎么了']
www.btg.com.cn,"['首旅集团', '首旅']"
doubletree.hilton.com.cn,['希尔顿逸林']
mt168.1688e.com,['莫泰连锁旅店']
www.22lrc.com,['你去了哪']
www.keyunzhan.com,['火车站店']
www.xiachufang.com,['做什么']
zygj.net,['奢华酒店']
www.alitrip.com,"['阿里去啊', '淘宝旅行', '阿里旅行']"
trip.taobao.com,"['阿里去啊', '淘宝旅行']"
hotel.sohu.com,['酒店频道']
b2b.haier.com,['酒店频道']
www.ifenglife.com,['酒店频道']
hr.lilyenglish.com,['哪里']
www.sheraton-wuxi.cn,['喜来登']
www.galaxyshotel.com,['银河宾馆']
hmuni.com,['遨游网']
www.auyou.com,['遨游网']
www.fun48.com,['想干嘛']
travel.qunar.com,['去哪儿旅行']
www.xpgod.com,['去哪儿吃']
www.fourseasons.com,['四季饭店']
www.super8.com.cn,"['速八酒店', '速8酒店']"
www.yirendai.com,['宜人贷']
www.jiemeng.tw,['爬上大树']
m.sohu.com,"['爬上大树', '得千疮', '被捅']"
www.zgjm.org,['爬上大树']
www.nbolu.com,['哪']
www.nbd.com.cn,['及艺龙']
www.ele.me,['了吗']
www.shailema.com,['了吗']
www.jjwxc.net,['了吗']
www.maigoo.com,['顶级酒店']
vb.lanmei80.com,['钉子']
www.mangocity.com,['芒果网']
www.mgtv.com,['芒果网']
www.kuxun.cn,"['酷讯', '酷讯网']"
www.1hai.cn,['一嗨租车']
car.ctrip.com,['一嗨租车']
www.youabc.cn,['时尚酒店']
mg.podinns.com,['时尚酒店']
www.tom.com,['国内在线']
news.cri.cn,['国内在线']
www.5qwan.com,['去玩儿']
www.quwanr.net,['去玩儿']
flight.elong.com,['从艺龙']
